null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
3044431526 |(19.3631, 254.524, 103.06)| |(0.309746, -0.947975, -0.073485)|
3044440494 |(17.9508, 246.447, 111.544)| |(0.300162, -0.953583, -0.0241336)|
3044449725 |(17.3564, 238.042, 118.971)| |(0.298645, -0.953876, 0.0305036)|
3044458613 |(17.1803, 233.955, 122.472)| |(0.308428, -0.948539, 0.0717369)|
3044467738 |(17.581, 228.433, 125.649)| |(0.316084, -0.942803, 0.105895)|
3044476618 |(19.021, 219.755, 127.899)| |(0.319323, -0.937218, 0.140197)|
3044485731 |(20.4213, 211.238, 127.536)| |(0.313123, -0.932487, 0.180061)|
3044494716 |(22.6579, 204.441, 125.658)| |(0.306233, -0.928566, 0.209732)|
3044503765 |(25.4683, 197.715, 121.928)| |(0.298575, -0.92315, 0.242172)|
3044513047 |(28.6504, 191.73, 116.675)| |(0.297099, -0.916609, 0.267508)|
3044521952 |(32.0719, 186.222, 109.939)| |(0.29103, -0.907395, 0.303208)|
3044530868 |(35.7831, 180.879, 101.564)| |(0.281863, -0.900419, 0.33136)|
3044539878 |(39.7992, 175.696, 91.7867)| |(0.26755, -0.899384, 0.345723)|
3044549016 |(43.9851, 170.303, 80.8598)| |(0.252606, -0.897974, 0.360325)|
3044557975 |(48.2264, 165.463, 68.4436)| |(0.240626, -0.901326, 0.360152)|
3044567083 |(52.4971, 161.266, 55.3456)| |(0.229576, -0.910912, 0.342832)|
3044576235 |(57.3419, 156.796, 39.8004)| |(0.212933, -0.925616, 0.31288)|
3044585132 |(62.2769, 152.369, 23.8405)| |(0.19285, -0.941653, 0.275859)|
3044594219 |(67.4193, 147.588, 7.89673)| |(0.175563, -0.955087, 0.23872)|
3044603236 |(72.6136, 142.757, -7.17712)| |(0.163474, -0.96636, 0.198558)|
3044612285 |(78.3393, 138.852, -21.285)| |(0.144514, -0.977091, 0.156233)|
3044621202 |(84.0806, 133.918, -33.3451)| |(0.128798, -0.98252, 0.134405)|
3044630571 |(90.3803, 129.324, -44.3454)| |(0.100275, -0.987605, 0.120753)|
3044639773 |(96.0653, 124.481, -53.856)| |(0.0692241, -0.99124, 0.112477)|
3044648366 |(101.184, 120.447, -62.7112)| |(0.0244276, -0.994012, 0.106507)|
3044657535 |(105.548, 116.928, -68.741)| |(-0.0193593, -0.995003, 0.0979506)|
3044666595 |(109.941, 112.813, -72.6043)| |(-0.0617851, -0.993375, 0.0968976)|
3044675596 |(117.434, 110.872, -77.6046)| |(-0.127491, -0.989532, 0.0676254)|
3044684498 |(123.372, 108.413, -80.8724)| |(-0.178086, -0.982658, 0.051665)|
3044693644 |(127.302, 105.07, -82.7788)| |(-0.215542, -0.975295, 0.0483913)|
3044702609 |(129.51, 101.804, -82.5959)| |(-0.255578, -0.96535, 0.0527119)|
3044711783 |(129.662, 96.3406, -77.2236)| |(-0.262878, -0.959105, 0.104946)|
3044720790 |(129.002, 91.3116, -72.4769)| |(-0.270342, -0.950227, 0.15487)|
3044729765 |(128.577, 87.7635, -67.1476)| |(-0.275696, -0.942942, 0.186688)|
3044738739 |(128.794, 85.6045, -64.4663)| |(-0.234224, -0.955878, 0.177304)|
